ITA,SCN,LOCAL,DEMONYM,FROM_CS,FROM_CSFLS,FROM_DT
Santa Croce Camerina,Santa Cruci,Santa Cruci,,2,,
Santa Domenica Vittoria,,,,,,
Santa Elisabetta,A Sabbetta,,,0,,
Santa Flavia,,,,,,
Santa Lucia del Mela,,,,,,
Santa Margherita di Belice,Santa Margarita,,,1,,
Santa Maria di Licodia,Fuḍḍìa,"Fuḍḍìa, Lifuḍḍìa",fuḍḍiotu,12,,
Santa Marina Salina,,,,,,
Santa Ninfa,,,,,,
Santa Teresa di Riva,Santa Tiresa (già A Marina di Sàvuca),,,1,,
Santa Venerina,"Santa Vènnira, Santa Vinnirina",,,0,,
Santo Stefano di Camastra,,,,,,
Santo Stefano Quisquina,Santu Stèfanu Cuschina,,,0,,
Saponara,,,,,,
Savoca,,,,,,
Scaletta Zanclea,,,,,,
Sciacca,Sciacca,,,1,,
Sciara,,,,,,
Scicli,Scìchili,,,1,,
Scillato,,,,,,
Sclafani Bagni,Scàfani,"Scàfani, Scàfina",scafanotu,2,,
Scordia,Scurdìa,,,1,,
Serradifalco,Serradifarcu,,,1,,
Siculiana,Siculiana,,,0,,
Sinagra,,,,,,
Siracusa,Saragusa,Sarausa,,1,,
Solarino,Santu Paulu,"Santu Paulu, San Paulu",,1,,
Sommatino,Summatinu,,,1,,
Sortino,Sciurtinu,,,1,,
Spadafora,,,,,,
Sperlinga,,,,,,
Sutera,,,,,,
Taormina,Taurmina,Taummina,,1,,
Terme Vigliatore,Tèrmini Vigghiaturi,Tèmmini Lugghiaturi,,1,,
Termini Imerese,,,,,,
Terrasini,Tirrasini (+ A Favarotta),,,1,,
Torregrotta,,,,,,
Torrenova,,,,,,
Torretta,,,,,,
Tortorici,Turturici,,,FALSE,,TRUE
Trabia,Trabbìa,,,FALSE,,
Trapani,Tràpani,Tràpane,,TRUE,,
Trappeto,Trappitu,,,1,,
Trecastagni,Triccastagni,,,1,,
Tremestieri Etneo,Trimmisteri,,,1,,
Tripi,,,,,,
Troina,,,,,,
Tusa,Tusa,,,1,,
Ucria,,,,,,
Ustica,Lùstrica,"Lùstrica, Ùstrica",,1,,
Valderice,Papareḍḍa,,,1,,
Valdina,,,,,,
Valguarnera Caropepe,Carrapipi,,,1,,
Valledolmo,,,,,,
Vallelunga Pratameno,Vaḍḍilonga,,,2,,
Valverde,Beḍḍuvirdi,Beḍḍuviddi,,1,,
Venetico,,,,,,
Ventimiglia di Sicilia,Calamigna,,,1,,
Viagrande,Viagranni,,,0,,
Vicari,,,,,,
Villabate,Abbati,,,TRUE,,
Villafranca Sicula,Viḍḍafranca,,,FALSE,,
Villafranca Tirrena,,,,,,
Villafrati,,,,,,
Villalba,,,,,,
Villarosa,,,,,,
Vita,,,,,,
Vittoria,Vittoria,,,TRUE,,
Vizzini,Vizzini,,,TRUE,,
Zafferana Etnea,A Zafarana,,,FALSE,,
